 ,emotions
"নিজের প্রশংসা শুনলে বা দেখলে প্রথমে লাগে লজ্জা, তারপরে ভালো লাগে। লজ্জা লাগে এই ভেবে যে কি এমন করেছি বা করতেছি। ভালো লাগে এই ভেবে যে আমার এই জীবনের এই গল্পই হয়তো কিছু ছেলেমেয়েকে পরিশ্রম করে সামনে এগিয়ে যাবার প্রেরণা দিবে। সমাজের জন্য, দেশের জন্য এবং পৃথিবীর জন্য ভালো কিছু করার রসদ পাবে।   বগুড়া ট্রিবিউন(Bogura Tribune)  টিমকে অনেক ধন্যবাদ। 
https://www.facebook.com/BoguraTribune/posts/5797455696962988",joy
"আলহামদুলিল্লাহ, তালের বীজ গুলোর চারা দেখা যায়।  এডুকেশন ফাউন্ডেশনের (Education Foundation) উদ্যোগে গত বছর নন্দীগ্রাম থানার ভাটগ্রাম থেকে বিশা গ্রামের রাস্তায় ৩০০+ তাল চারা রোপন করা হয়েছিল।  বনবিভাগের অনুমতি পেলে এডুকেশন ফাউন্ডেশনের উদ্যোগে এই বছর ন্যূনতম ৫০০০ গাছ লাগানোর পরিকল্পনা আছে।  আল্লাহ ভরসা।",Admiration
ভাড়া করা গাড়ির ড্রাইভারসহ চিরদিনের জন্য আত্মগোপনে থাকার চেয়ে ৮ দিন আত্মগোপনে থাকা শ্রেয়তর।  প্রশ্ন না করে শুকরিয়া করেন। জুন ২০২১,Realization
সুখস্মৃতি,Joy
"প্রথম আলোতে প্রকাশিত  কায়কোবাদ স্যারের এই লেখাটি সবার পড়া উচিত। পড়ার পড়ে একটা দিন এই লেখা নিয়েই ভাবা উচিত।  

***********************************************************

ভালো ছাত্রদের কদর নেই, অন্যদের মুখে ফুলচন্দন

শ্রেষ্ঠ ছাত্রদের অনেক গল্পই একসময় শুনেছি। রূপকথার মতো লাগত। বোর্ডে যারা প্রথম হতো কিংবা মেধাতালিকায় যাদের নাম আসত, তাদের সম্পর্কে জানতে আগ্রহ হতো। তারা কীভাবে পড়ে, কী খায়, কখন ঘুম থেকে ওঠে, কী পছন্দ করে ইত্যাদি ইত্যাদি। এ ধরনের আগ্রহ সব সেলিব্রিটিদের নিয়েই সারা দুনিয়ায় রয়েছে। হোক সে সিনেমার নায়ক-নায়িকা, ফুটবলার, ক্রিকেটার বা মুষ্টিযোদ্ধা। প্রথম আলোরই এক অনুষ্ঠানে একবার সমবয়সী এক শুটিং সেলিব্রিটির অটোগ্রাফ নিতে মেধাবী ছাত্রদের কী আগ্রহ! আবার জনপ্রিয় পদার্থবিদ আলী আসগরের সঙ্গে স্বনামধন্য একটি কলেজের ফাঁকা অডিটরিয়ামে বিজ্ঞান উৎসবের পুরস্কার বিতরণী অনুষ্ঠানে ৩০-৪০ মিনিট নিরুত্তাপ বসে আছি, হঠাৎ দেখি ছাত্রদের মাঝে আনন্দের জোয়ার। কী হলো কী হলো? এক ক্রীড়া ধারাভাষ্যকারের শুভাগমন হয়েছে। ছাত্ররা কে কার আগে ছবি তুলবে তার প্রতিযোগিতা শুরু হয়ে গেল। এই কলেজের ছাত্ররা অত্যন্ত মেধাবী। তাদের বেশির ভাগই ডাক্তার, ইঞ্জিনিয়ার বা বিজ্ঞানী হবে। বিজ্ঞানই তাদের জীবিকা। কিন্তু স্বনামধন্য পদার্থবিদকে নিয়ে তাদের কোনো আগ্রহ নেই!

মানুষ যে সৃষ্টির শ্রেষ্ঠ জীব তা কিন্তু তার হাত, পা, নাক, কান, চোখ কিংবা দৈহিক শক্তির জন্য নয়। মস্তিষ্কের শক্তিতেই সে শ্রেষ্ঠ। শত অনুশীলনেও দৈহিক সক্ষমতা ৩–৫ গুণের বেশি বাড়ানো সম্ভব নয়। উসাইন বোল্ট আমাদের চেয়ে তিন গুণ জোরে দৌড়াতে, সের্গেই বুবকা আমাদের তিন গুণ উচ্চতায় লাফাতে বা বিশ্বের সবচেয়ে শক্তিশালী মানুষটি আমাদের তিন গুণ বেশি ওজন ওঠাতে পারবে না। একজন আইনস্টাইন কিন্তু এমন একটি সমাধান করতে পারবে, আমরা ১৭ কোটি বাঙালি মিলেও যা পারব না! উপরন্তু, অঙ্গপ্রধান অন্য যেকোনো নৈপুণ্যের থেকে মস্তিষ্কপ্রধান নৈপুণ্য অনেক বেশি আস্থাযোগ্য। এক ইনিংসে ডাবল সেঞ্চুরি করে পরের ইনিংসেই ডাক খেতে পারে একজন ব্যাটসম্যান।

কিন্তু একজন মেধাবী ছাত্রের পক্ষে একবার ৯০ পেয়ে পরের বারই ১০ পাওয়া প্রায় অসম্ভব! মস্তিষ্কের সেই শক্তিই আমাদের কাছে কত অবহেলিত! মুষ্টিযুদ্ধ দেখে অনেকে আনন্দ পায়, খ্যাপাটে ষাঁড়ের ওপর টিকে থাকার প্রতিযোগিতা বুল রাইডিংও সৃষ্টির শ্রেষ্ঠ জীব মানুষকে নির্মল আনন্দ দেয়। কিন্তু বুদ্ধির খেলা দাবা দেখতে তাদের আগ্রহ নেই। দাবা ফেডারেশন আর ক্রিকেট কন্ট্রোল বোর্ডের মধ্যে পার্থক্য দেখলেই বোঝা যায় মস্তিষ্ককেন্দ্রিক কর্মকাণ্ডে আমরা কতটা উদাসীন, অনাগ্রহী। 

সাধারণ খেটে খাওয়া মানুষের অবশ্যই চিত্তবিনোদন প্রয়োজন। তার জন্য জনপ্রিয় অনুষ্ঠানমালারও আয়োজন করতে হবে। তবে দেশের কল্যাণে মানুষের আগ্রহের জায়গায়ও ইতিবাচক পরিবর্তন আনতে হবে। জ্ঞান, বিজ্ঞান ও প্রযুক্তিতে আমরা কতটা বলীয়ান হচ্ছি, তার ওপরই নির্ভর করছে, আমাদের মতো ঘনবসতিপূর্ণ দেশের অগ্রগতি। বাংলাদেশের বিশ্বমানের বিজ্ঞানী জামাল নজরুল ইসলাম দুঃখ করে বলতেন, আমাদের দেশে সম্মেলন করার অর্থ পাওয়া যায় না। আমাদের দেশে শিক্ষায় উৎকর্ষের জন্য কর্মসূচি, প্রণোদনা, প্রতিযোগিতার নিদারুণ অভাব। অথচ প্রতিযোগিতা হলো উৎকর্ষ অর্জনের সবচেয়ে ব্যয় সাশ্রয়ী পদ্ধতি।

শিক্ষায় প্রতিযোগিতা নাকি ছাত্রদের হতাশাগ্রস্ত করে। তাই প্রতিযোগিতা আজ বিলুপ্ত। অথচ এরাই যখন ফুটবল, ক্রিকেটে ম্যান অব দ্য ম্যাচ, কিংবা গান, নাচে চ্যাম্পিয়ন হতে পারে না, তখন তারা হতাশায় ভোগে না! যত সমস্যা শিক্ষায়। পড়ালেখায় ভালো–মন্দ যা–ই করুক, উচ্চ কিংবা নিম্ন কণ্ঠে প্রকাশ করা যাবে না। জীবনের সব ক্ষেত্রেই সাফল্যের থেকে ব্যর্থতা বেশি। সেই ব্যর্থতা থেকে ঘুরে দাঁড়াতে হবে, কৃত্রিমভাবে তাকে আড়াল করে লাভ নেই। আর আড়াল যদি করতেই হয়, তাহলে তো কোনো প্রতিযোগিতাই আয়োজন করা যাবে না।

দীর্ঘদিন বোর্ড কর্তৃপক্ষ মেধাতালিকা ছাপিয়ে আসছিল। সেই মেধাতালিকা নিয়েও আমাদের নানা অভিযোগ। তালিকায় আসা না–আসা মূল্যায়নের অসংগতির কারণেও হতে পারে। আর এই সমস্যা তো শুধু শিক্ষা নয়, সব ক্ষেত্রেই বিদ্যমান। গানের প্রতিযোগিতায় বিচারকেরা যখন নম্বর দেন, তখন কী তাঁদের মূল্যায়ন নিয়ে প্রশ্ন ওঠে না? সত্য বটে দুর্নীতি করে কেউ কেউ মেধাতালিকায় চলে আসছে। হেন মানব কর্মকাণ্ড নেই যেখানে দুর্নীতি নেই। দুর্নীতি এড়ানোর জন্য সেই কাজই বাদ দিয়ে দেব? বরং টেকসই দুর্নীতিমুক্ত পদ্ধতির সূচনা করা উচিত। ২০ জনের মেধাতালিকায় নাম লেখানোর জন্য হাজার হাজার ছাত্রছাত্রী কত বিনিদ্র রজনী পড়ালেখা করত। এখন আর সেই প্রতিযোগিতা নেই। একে তো শিক্ষায় বিনিয়োগ জিডিপির মাত্র ২ শতাংশ, তারপর যদি প্রণোদনা না থাকে, তাহলে তরুণেরা জ্ঞানার্জনে সময় ব্যয় করবে কেন?

তারুণ্যের ধর্মই হলো চ্যালেঞ্জ মোকাবিলা, কেউ দ্বিতীয় হতে চায় না। ছাত্রদের আমরা যখন বিভিন্ন আন্তর্জাতিক প্রতিযোগিতায় চ্যালেঞ্জের মুখোমুখি করি, তারা কিন্তু সেখানে ভালো করে। বাংলাদেশের ছাত্ররা যেমন প্রোগ্রামিং প্রতিযোগিতায় তথ্যপ্রযুক্তিতে মহাশক্তিধর ভারতের ছাত্রদের থেকে ভালো করছে। স্কুল–কলেজের ছাত্ররা বিশ্ববিদ্যালয়ের ছাত্রদের সঙ্গে প্রোগ্রামিং প্রতিযোগিতায় চ্যাম্পিয়ন পর্যন্ত হয়, যদিও তাদের পাঠ্যক্রমে প্রোগ্রামিং নেই। শুধু প্রতিযোগিতা আছে বলেই এটা সম্ভব হয়েছে! দাবায় গোটা দক্ষিণ এশিয়ার প্রথম গ্র্যান্ডমাস্টার নিয়াজ মোরশেদ। বিশ্বনাথন আনন্দ তার ঢের পরে গ্র্যান্ডমাস্টার হন, পরে তিনি বিশ্বচ্যাম্পিয়ন পর্যন্ত হয়েছেন। আমরা কিন্তু নিয়াজ মোরশেদকে যথাযথভাবে এগিয়ে দিইনি।

ধরুন, একটি ম্যাচে ম্যান অব দ্য ম্যাচকে আমরা যদি নগদ এক হাজার টাকা দিয়ে পুরস্কৃত করি, তাহলে কতজন সেই খেলা খেলবে? একজন ফিগো কিংবা রোনালডো ৩০ পার হওয়ার আগেই কয়েক শ মিলিয়ন ইউরো উপার্জন করে। আর তার দ্বিগুণ বয়সে পৌঁছেও একজন পাকা চুল আইনস্টাইন তার ১ শতাংশ আয় করতে পারে না! এই বাস্তবতায় কজন বিজ্ঞানী কোনোরকম প্রণোদনা ছাড়াই জ্ঞান নিয়ে ধ্যান করবে? মানবসভ্যতাকে এগিয়ে নিতে খেলোয়াড় কিংবা বিনোদন তারকার তুলনায় আইনস্টাইনের অবদান কি এতই কম? কোনো জায়গায় একই সময়ে নোবেল বিজয়ী পদার্থবিজ্ঞানী আর শাহরুখ খান উপস্থিতি হলে পদার্থবিজ্ঞানের শ্রেষ্ঠ ছাত্রটি কি নোবেল বিজয়ীকে ধাক্কা মেরে একনজর শাহরুখ খানকে দেখার চেষ্টা করবে না? বিজ্ঞান কিংবা মেধার গুরুত্ব মেধাবীদের মধ্যেই যেখানে নেই, অন্যদের মধ্যে সেখানে কী করে থাকবে?

সাধারণ মানুষের থিওরি অব রিলেটিভিটি কিংবা কোয়ান্টাম মেকানিক্স বোঝার কথা না, তবে সমাজপতিদের তো এর গুরুত্ব বোঝা উচিত। অলিম্পিয়াড বিজয়ীদের বছরে এক দিন হোয়াইট হাউসে আমন্ত্রণ করেন আমেরিকার প্রেসিডেন্ট! ৩০০ বছর পূর্বে পদার্থ বিজ্ঞানের সব জ্ঞান নিশ্চয়ই এক হাজার পৃষ্ঠার একটি বইতে লিখে রাখা যেত। এখন ওই সাইজের এক হাজার বইতেও সব জ্ঞান আঁটানো যাবে না। সুতরাং এখন অনেক বেশি জ্ঞানকর্মী প্রয়োজন। অনেক তরুণকে জ্ঞানার্জনে উৎসাহিত করতে হবে।

প্রায় শত বছর পাবলিক পরীক্ষার মেধাতালিকা প্রকাশিত হয়েছে, তবে কখনো কোনো ছাত্রকে জানানো হয়নি সে এই বছর কিংবা এযাবৎকালের গণিত কিংবা রসায়নে অথবা বাংলায় কিংবা ইংরেজিতে অথবা নানা বিন্যাসে সর্বোচ্চ নম্বর পেয়েছে। এই রেকর্ডগুলো থাকলে ছাত্ররা ভাঙার চেষ্টা করত, প্রতিযোগিতা হতো, যা ক্রীড়ার সব ক্ষেত্রেই আছে। ১০০ মিটার দৌড়ে সামান্য সময়ের ব্যবধানে রেকর্ড হয়। সামান্যই তফাত, তারপরও কত গুরুত্বপূর্ণ। অথচ শিক্ষায় এর থেকে অনেক বড় ব্যবধানকেও স্বীকৃতি দিই না। খেলার এই পরিসংখ্যানগুলো আবার মেধাবী ছাত্ররা নানা রকম কুইজ প্রতিযোগিতায় চ্যাম্পিয়ন হওয়ার জন্য মুখস্থ করে!

পৃথিবীর ইতিহাসে কখনো কখনো কোনো কোনো সমস্যার সমাধানে অচলাবস্থার তৈরি হয়েছে। সমাধানের জন্য যেই কোনো বিজ্ঞান একাডেমি পুরস্কার ঘোষণা করেছে, সঙ্গে সঙ্গে সমাধান হয়েছে। ১৯০০ সালে প্যারিসে অনুষ্ঠিত আইএমইউতে ডেভিড হিলবার্টের দেওয়া অসমাধিত সমস্যার তালিকা কিংবা ক্লে ম্যাথমেটিকস ইনস্টিটিউটের মিলেনিয়াম পুরস্কার ঘোষণার পর অনেক সমস্যার সমাধান হয়েছে। সুতরাং অন্যান্য ক্ষেত্রের মতো শিক্ষায়ও পুরস্কার, প্রণোদনা গুরুত্বপূর্ণ।

পড়ালেখার পারফরম্যান্স নিয়ে উচ্চকণ্ঠে বললেই সমস্যা। এই শিক্ষার্থীই যখন দৌড় প্রতিযোগিতায় সর্বশেষ হয়, সেটা শুধু দর্শকই নয়, প্রতিযোগী নিজেও জানতে পারে, সেখানে সমস্যা নেই। পারফরম্যান্সের ভিত্তিতে স্কুল–কলেজগুলোকে র‍্যাঙ্ক করা হতো। সেটাও বাদ কারণ কোনো কোনো চতুর প্রতিষ্ঠান কায়দা করে নিজেদের প্রথম বানিয়ে ফেলে। আমরা এমন নীতি প্রণয়ন করতে পারি না যেখানে শ্রেষ্ঠত্ব অর্জন ছাড়া ভালো র‍্যাঙ্ক পাওয়া যাবে না? নম্বর প্রাপ্তি এবং জ্ঞানার্জনের মাত্রার মধ্যে যে আন্তসম্পর্ক আছে বর্তমানে আমরা তাতে আর আস্থা রাখতে পারছি না। এই একই যুক্তিতে তো গ্রেড আর জ্ঞানার্জনের মধ্যেও আন্তসম্পর্ক থাকার কথা নয়। সুতরাং ভাবার কারণ নেই যে নম্বর থেকে গ্রেডে এসে ইতিবাচক উত্তরণ হয়েছে। গ্রেডিং সিস্টেমের কারণে চতুর্থ শ্রেণির সঙ্গে প্রথম শ্রেণির গ্রেডের পার্থক্য আর থাকছে না। উন্নত বিশ্বের শিক্ষাব্যবস্থায় কিন্তু জ্ঞান ও গ্রেডের আন্তসম্পর্ক আছে। চেষ্টা করলে আমরাও এ রকম পদ্ধতির সূচনা করতে পারি।

আমাদের শিক্ষার মান নিয়ে উচ্চকণ্ঠে বলার কিছু নেই। আমাদের কোনো বিশ্ববিদ্যালয়ই সম্মানজনক র‍্যাঙ্ক পায় না। আমেরিকায় সারা পৃথিবীর ৫ শতাংশ মানুষের বাস অথচ শ্রেষ্ঠ ১০০টি বিশ্ববিদ্যালয়ের ৫০টিই তাদের। সেখানে শিক্ষাপ্রতিষ্ঠান, ছাত্র–শিক্ষক সবাইকেই নানা সূচকে র‍্যাঙ্ক করছে। আমাদের দেশে শিক্ষাপ্রতিষ্ঠানের জন্য কোনো র‍্যাঙ্কিং ব্যবস্থা নেই।

এ অবস্থা থেকে উত্তরণের জন্য কিছু প্রস্তাব করছি।
১. শিক্ষায় আগের মতোই সুস্থ প্রতিযোগিতার চালু।
২. গ্রেডের পরিবর্তে নম্বর পদ্ধতি চালু।
৩. প্রতি শ্রেণি ও বিষয়ে বিজয়ীদের নিয়ে নানা পর্যায়ে অলিম্পিয়াড আয়োজন।
৪. দুর্নীতিমুক্ত প্রশ্নপত্র প্রণয়ন ও মূল্যায়নে জিআরইর মতো অনেক বেশি গবেষণা ও বিনিয়োগ।
৫. নানা সূচকের বিচারে শ্রেষ্ঠত্ব অর্জনকারী ছাত্র, শিক্ষাপ্রতিষ্ঠান, উপজেলা, জেলা ও বিভাগের নামও ওয়েবপেজে তালিকাবদ্ধ করা এবং ঘটা করে পুরস্কার প্রদান।

শিক্ষা মানুষের জীবনে অনেক কর্মকাণ্ডের একটি মাত্র। অন্যান্য ক্ষেত্রের মতোই সবার নৈপুণ্য এক হবে না এবং তা গোপন রাখারও প্রয়োজন নেই।

মোহাম্মদ কায়কোবাদ ব্র্যাক বিশ্ববিদ্যালয়ের ডিস্টিংগুইশড অধ্যাপক ও বাংলাদেশ একাডেমি অব সায়েন্সেসের ফেলো",Optimism
"আলহামদুলিল্লাহ, গতকাল করোনার দ্বিতীয় ডোজ টিকা নিয়েছি। এখন পর্যন্ত হাতে সামান্য ব্যাথা ছাড়া অন্য কোনো কিছু অনুভব করি নাই।  আমি ফাইজারের টিকা নিয়েছি। আপনাদের সুযোগ থাকলে টিকা নিন।   আল্লাহ করোনা থেকে পৃথিবীর মানুষকে রক্ষা করুন।  আমিন।  

ধন্যবাদ সকল বিজ্ঞানীদের যারা অক্লান্ত পরিশ্রম করে এই ভ্যাকসিন নিয়ে এসেছেন।  একজনের কথা না বললেই নয়, তিনি হলেন ক্যাটালিন কারিকো ছবিতে ।  ফাইজার টিকা বানিয়েছে mRNA vaccine technology ব্যবহার করে।  এই গবেষণার জন্য তিনি ফান্ড ম্যানেজ করতে পারেন নাই।  যার কারণে উনার ইউনিভার্সিটি উনাকে পদচ্যুত করে।  উনি লেগে ছিলেন এবং বিশ্বাস করতেন নিজের গবেষণায়। যার ফলাফল পাচ্ছে পৃথিবীর কোটি কোটি মানুষ।  আশা করি এই বছর নোবেল পুরস্কার উনার ঘরেই যাবে।",Gratitude
আলহামদুলিল্লাহ। জীবনে প্রথম আমার ভার্সিটির একটি ছোট ইন্টারনাল গ্রান্ট পেলাম ।  পি এইচ ডির কাজের ভিত্তি করে একটি প্রপোজাল সাবমিট করছিলাম। সেটার জন্য এই ইন্টারনাল গ্রান্ট পেলাম। এখন এই প্রপোজাল এক্সটার্নাল ফান্ডের জন্য প্রস্তুত করার পেলাম। আল্লাহ ভরসা।,Admiration
"নিজের অবস্থান এলাকার ছেলেমেয়েদের জন্য একটু প্রচেষ্টা। দুই সপ্তাহে নবম দশম শ্রেণীর পরিমিতির কয়েকটি চ্যাপ্টার শেষ করছিলাম।  ৪৫ দিন দেশে ছিলাম, তার মধ্যে প্রায় ৩৫ দিনই এডুকেশন ফাউন্ডেশনের কাজ নিয়ে ব্যস্ত ছিলাম।  দেখতে দেখতে দেশে যাবার দুই বছর হয়ে গেলো।",Admiration
"দেশপ্রেমিক রোজিনা আপা 

উনি কি করতে চেয়েছেন ? 
উনি স্বাস্থ্যখাতের কিছু দুর্নীতিবাজদের মুখোশ উন্মুক্ত করতে চেয়েছেন । এর আগে অনেক সাহসী রিপোর্ট করেছেন (দ্বিতীয় ছবি )। 

রোজিনার আপার কাজ থেকে কে লাভবান হবে ?
বাংলদেশের প্রতিটা মানুষ। 

রোজিনা আপা কি পেলেন ?
মাফিয়াদের হাতে নির্যাতন, সাথে খেলেন কেস। 

তাহলে প্রতিবাদ কাকে করতে হবে ?
প্রতিটা মানুষকেই করতে হবে। 

একটু ভেবে দেখুন এক স্বাস্থখাতের দুর্নীতি বন্ধ হলে বড়লোকদের চিকিৎসার জন্য  যেমন সিঙ্গাপুর যেতে হবে না, তেমনি মধ্যবৃত্তদের ভারতে যেতে হবে না।  আর  গরিব মানুষদের বিনা চিকিৎসায় মরতে হবে না।  দেশের মানুষের চিকিৎসা দেশেই সম্ভব।  

আসুন আওয়াজ তুলুন। 

রোজিনা আপা মুক্তি পাক, সকল দুর্নীতিবাজ নিপাত যাক। 

একটি সুন্দর বাংলাদেশের প্রত্যাশায়।",Optimism
"যখন স্টুডেন্ট ছিলাম : 

ঈদের আগে প্রফেসরকে জানিয়ে দিতাম।  আগামীকাল ঈদ , কাল পরশু কাজ করবো না। প্রফেসর বলতো ঠিক আছে, আনন্দ করো। ঈদের দিন কোনো কাজ নাই। 

যখন নিজে প্রফেসর হলাম: 
ঈদের দিন ডিপার্টমেন্ট ফ্যাকাল্টিদের সাথে ম্যান্ডেটরি মিটিং পড়লো দুপুরে আর বিকাল ৫ থেকে ৮ টা পর্যন্ত স্টুডেন্টদের পরীক্ষা। 

এই হলো স্টুডেন্ট থাকা আর প্রফেসর হবার একটি পার্থক্য।   

সবাইকে ঈদ মুবারক।",Joy
"বুয়েটের ২.৪৪ জিপিএ এবং স্যারের একটি কথা 
.............................................................

এস এস সি ব্যর্থতার পরে এইচ এস সি লেভেলে প্রচুর পরিশ্রম করেছিলাম। ফলাফল ছিল এইচ এস সি তে এ প্লাস এবং বুয়েটের কম্পিউটার সায়েন্সে ভর্তি। আলহামদুলিল্লাহ।   

বুয়েটে প্রথম টার্ম বুঝে উঠার আগেই শেষ হয়ে গেলো।  জিপিএ পেলাম ২.৯৪। 
দ্বিতীয় টার্মে আরো ধস নামলো।  মূলত বেশিরভাগ বিষয়ে সি আর ডি গ্রেড পেলাম।
 
ফলাফল নিতে আমার তখনকার সুপারভাইসর মোহাম্মদ তানভীর পারভেজ স্যারের রুমে গেলাম।
  
আমার গ্রেডশীট হাতে নিয়ে স্যার বললেন। 

জিপিএ ২.৪৪!!! এতো খারাপ কেন জিপিএ ?

আমি মাথা নিচু করে আছি। বলার কিছু নেই।  আমার অবস্থা দেখে স্যার বেশি কিছু না বলে একটি বাক্য বললেন। 

পরের টার্মে যেন মাথা উঁচু দেখি। 

আমি জি স্যার বলে গ্রেড শিট হাতে নিয়ে চলে আসলাম। 

পরের টার্মে পেয়েছিলাম ৩.৪২।  একবারে ২.৪৪ থেকে ৩.৪২। স্যারের প্রতি কৃতজ্ঞতা।  

ছবিতে ২০০৮ সালে  বুয়েটের আহসানউল্লাহ হলের সামনে।

জীবনযুদ্ধে হটাৎ করে হোঁচট খেয়ে পড়ে যাওয়া মানেই প্রতিযোগিতা থেকে ছিটকে পড়া নয়। হোঁচট খেয়ে উঠে আবার নতুন উদ্যমে শুরু করায় জীবন। আমাদের আশেপাশেই অনুপ্রেরণার মানুষ থাকে। চোখ কান খোলা রাখলে পাওয়া যায়।  সবার জন্য শুভকামনা। 

মো : লুৎফর রহমান
অ্যাসিস্ট্যান্ট প্রফেসর, ক্যালিফর্নিয়া স্টেট ইউনিভার্সিটি সান মার্কোস
এবং
সহপ্রতিষ্ঠাতা Education Foundation",Realization
"আসুন একটু সংযমী হই।  নিজের জন্য, প্রিয়জনদের জন্য। 

গত কয়েকদিন ধরে ভারতের করোনা পরিস্থিতির বেশ কিছু ভয়ঙ্কর ভিডিও, ছবি এবং খবর আমার নিউজফীডে দেখছি।  অক্সিজেন নাই, ঔষধ নাই, ডাক্তার নাই. স্বজনদের আর্তনাদ বাতাস ভারী করে তুলছে প্রতি মুহূর্ত । মানুষের এই দুর্দশা দেখলে চোখের কোন মনের অজান্তেই পানি চলে আসে।  বিভিন্ন জায়গা থেকে কয়েকটি ছবি সংগ্রহ করে পোস্টের সাথে দিলাম। 

ভারতের করোনার ডেউয়ে ভারতের স্বাস্থ্য খাত ভেঙে পড়েছে। মানুষ অক্সিজেন পাচ্ছে না। স্মশানে যেমন চিতার আগুন নিভছে না, তেমনি কবরস্থানেও একের পর এক লাশ দাফন হচ্ছে।  বাংলাদেশের তিন দিকেই ভারত। ভারতের এই ভয়ঙ্কর অবস্থা বাংলাদেশের জন্য পূর্ব সংকেত।  

ভারতের করোনার নতুন জাত খুবই ভয়ঙ্কর। অফিসিয়াল ডাটা অনুযায়ী এখন প্রতিদিন ৩ লক্ষ মানুষ আক্রান্ত হচ্ছে, মারা যাচ্ছে প্রায় দুই হাজারের উপর। বিভিন্ন পত্রিকার খবর অনুসারে প্রকৃত সংখ্যা অনেক বেশি।  ভারতে যদি এই অবস্থা বাংলাদেশে না হবার কারণ নেই। শুধু সময়ের অপেক্ষা।  এই সময়ের মধ্যে আমাদের প্রস্তুতি নিতে হবে।  

বাংলাদেশের চিকিৎসা খাত কেমন সেটা আপনারা সকলেই ভালো করেই জানেন। স্বাস্থ্য খাতের উপরের লোকজন মুখে বলেন, বাংলাদেশের স্বাস্থ্য খাত অনেক উন্নত দেশের চেয়ে ভালো। এই কথা বলে উনারা জান সিঙ্গাপুরে চিকিৎসা নিতে। আর সামর্থ্যবান বেশির ভাগ জনগণ যায় ভারতে। এই হচ্ছে আমাদের বর্তমান চিকিৎসার অবস্থা। 

তাই নিজের ভালোর জন্য, আপনার প্রিয়জনদের ভালোর জন্য আমরা সাবধানে চলি। যথাসম্ভব বাড়িতে থাকার চেষ্টা করি। অযথা মার্কেটে না যাই। সামনে ঈদ। তাই অনেক মানুষ করোনার তোয়াক্কা না করে ঈদের বাজার করতে যাচ্ছেন। আপনার পোশাকের চেয়ে আপনার এবং আপনার প্রিয়জনের সুস্থ থাকা অনেক অনেক বেশি গুরুত্বপূর্ণ।  এই বছরের ঈদের পোশাক কেনার টাকা আপনার পাশের একজন অসহায় মানুষকে দিতে পারেন। দেখবেন অনেক ভালো লাগছে। 

আপনার করোনা হয় নাই বলে আপনি হয়তো ড্যাম কেয়ার ভাব নিয়ে চলাফেরা করতেছেন। যাদের করোনা হয়েছে, করোনার কারণে যাদের অক্সিজেন নিতে হচ্ছে। তাদের একটু জিজ্ঞেস করুন।  

আমি বুয়েটের করোনা আক্রান্ত এক ছোট ভাইয়ের কথাগুলো শেয়ার করছি। 
ছেলেটির বয়স হবে ২৪-২৫ বছর। যে বয়সে প্রচুর জীবনী শক্তি থাকে মানুষের।   তাকে কিভাবে করোনা কাবু করেছে একটু পড়ুন। আবার পড়ুন। আবার পড়ুন। এইবার চোখ বন্ধ করে একটু অনুভব করার চেষ্টা করুন আপনার নিজের অথবা আপনার প্রিয় জনের কথা ।

""করোনা নিয়ে কেউ যেন অবহেলা না করি ভাই। আমি নিজে ১৮ তারিখ থেকে অক্সিজেন সাপোর্টে আছি। আমার একটা করে সেকেন্ড যাচ্ছে, আর কি পরিমান কষ্ট পাচ্ছি সেটা শুধু আমি জানি। একটা সময় গায়ে কত জোড় ছিল আমার, অথচ আজকে শরীরের ফুসফুস গুলো ঠিক ভাবে পাম্প করছেনা। পৃথিবীর প্রতিটা মানুষই আল্লাহর সৃষ্টি। আল্লাহ সবাইকেই হেফাজতে রাখুক। আমিন।""

আসুন আমরা নিজে সচেতন হই এবং আল্লাহর কাছে প্রার্থনা করি যেন এই ভাইরাস থেকে পৃথিবীবাসীকে রক্ষা করেন।  আমিন।   

মো : লুৎফর রহমান
অ্যাসিস্ট্যান্ট প্রফেসর, ক্যালিফর্নিয়া স্টেট ইউনিভার্সিটি সান মার্কোস
এবং
সহপ্রতিষ্ঠাতা, মহাপরিচালক এবং স্বেচ্ছাসেবী Education Foundation",Optimism
